id,gene_id,sequencing_uid,value
4167048,302,192,mutation
4167049,22842,192,mutation
4167050,302,193,mutation
4167051,22842,193,0
4167052,302,194,0
4167053,22842,194,mutation
4167054,302,195,mutation
4167055,22842,195,mutation
4167056,302,196,mutation
4167057,22842,196,mutation
4167058,302,197,0
4167059,22842,197,mutation
4167060,302,198,0
4167061,22842,198,mutation
4167062,302,199,0
4167063,22842,199,0
4167064,302,200,mutation
4167065,22842,200,0
4167066,302,201,mutation
4167067,22842,201,mutation
4167068,302,202,mutation
4167069,22842,202,mutation
